name,euc_dist,L1_dist,X2_distance,histogram_similarity,hellinger_kernel
bbdd_00256.pkl-bbdd_00245.pkl,0.12651837,1.1494652,146.53496,0.4252674,0.7829541
bbdd_00256.pkl-bbdd_00064.pkl,0.053264663,0.60778636,92.17843,0.6961068,0.9241205
bbdd_00256.pkl-bbdd_00143.pkl,0.07879505,0.95730084,145.43182,0.5213496,0.84828806
bbdd_00256.pkl-bbdd_00146.pkl,0.064472005,0.74233055,111.027016,0.6288347,0.884069
bbdd_00256.pkl-bbdd_00160.pkl,0.07216941,0.8637729,120.18851,0.56811357,0.87480086
bbdd_00256.pkl-bbdd_00117.pkl,0.08917177,1.0066941,139.80539,0.496653,0.8101577
bbdd_00256.pkl-bbdd_00253.pkl,0.08131917,0.9511929,112.69384,0.5244036,0.8302071
bbdd_00256.pkl-bbdd_00021.pkl,0.06523836,0.79222554,117.97751,0.60388726,0.8800077
bbdd_00256.pkl-bbdd_00255.pkl,0.07500378,0.83654773,130.15225,0.58172613,0.827663
bbdd_00256.pkl-bbdd_00154.pkl,0.0644307,0.79277194,110.813446,0.60361403,0.89734626
bbdd_00256.pkl-bbdd_00134.pkl,0.09719291,1.1627767,162.20337,0.4186117,0.7729274
bbdd_00256.pkl-bbdd_00054.pkl,0.13938034,1.4119952,116.9678,0.2940024,0.61583763
bbdd_00256.pkl-bbdd_00035.pkl,0.11116343,1.4892917,194.33002,0.25535426,0.6196464
bbdd_00256.pkl-bbdd_00197.pkl,0.081506036,1.0419582,140.44809,0.4790209,0.82555264
bbdd_00256.pkl-bbdd_00208.pkl,0.07756349,0.94823885,168.41293,0.5258806,0.822479
bbdd_00256.pkl-bbdd_00009.pkl,0.09708101,0.8898123,90.18056,0.5550938,0.8488047
bbdd_00256.pkl-bbdd_00095.pkl,0.08206035,1.0401222,135.40477,0.47993892,0.83395123
bbdd_00256.pkl-bbdd_00121.pkl,0.132773,1.2018645,119.80547,0.39906782,0.7313469
bbdd_00256.pkl-bbdd_00174.pkl,0.05789976,0.64849776,95.12312,0.67575115,0.90250075
bbdd_00256.pkl-bbdd_00151.pkl,0.0859959,1.036648,141.74529,0.48167604,0.8177605
bbdd_00256.pkl-bbdd_00224.pkl,0.111007415,1.4100802,179.7755,0.2949599,0.6564926
bbdd_00256.pkl-bbdd_00008.pkl,0.053195395,0.5845693,127.40421,0.7077153,0.91701466
bbdd_00256.pkl-bbdd_00149.pkl,0.0719492,0.87349355,126.50457,0.56325316,0.8621601
bbdd_00256.pkl-bbdd_00129.pkl,0.07008896,0.7377979,106.41765,0.63110095,0.88007057
bbdd_00256.pkl-bbdd_00187.pkl,0.040932525,0.4941084,91.34064,0.7529458,0.94081265
bbdd_00256.pkl-bbdd_00178.pkl,0.097133584,1.1583531,136.04932,0.42082345,0.7708504
bbdd_00256.pkl-bbdd_00124.pkl,0.08363365,0.92474747,140.59172,0.53762627,0.76001865
bbdd_00256.pkl-bbdd_00118.pkl,0.0908345,0.9425731,134.63943,0.52871346,0.8025106
bbdd_00256.pkl-bbdd_00028.pkl,0.080658175,0.8636694,115.41411,0.5681653,0.86226535
bbdd_00256.pkl-bbdd_00078.pkl,0.07478051,0.9874378,141.20128,0.50628114,0.84464806
bbdd_00256.pkl-bbdd_00260.pkl,0.060501315,0.7016644,106.219894,0.6491678,0.89711213
